C2,C3,C4,C5,C6,C7,C8,Car,Car Name,Game,Gran Turismo 5,Gran Turismo 6,Gran Turismo 7,Main Series,NTSC-J,NTSC-J (menus),NTSC-J (race),NTSC-U,NTSC-U (menus),NTSC-U (race),NTSC-U and PAL (menus),NTSC-U and PAL (race),Other,Other games,PAL,Prologues/Concepts,Region,URL
,,,,,,,,Nissan PENNZOIL ZEXEL GT-R '01,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_PENNZOIL_ZEXEL_GT-R_%2701
,,,,,,,,Peugeot 205 Turbo 16 '85,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Peugeot_205_Turbo_16_%2785
,,,,,,,,Honda NSX Type S Zero '99,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_NSX_Type_S_Zero_%2799
,,,,,,,,Mazda éfini RX-7 Type RZ (FD) '92,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_%C3%A9fini_RX-7_Type_RZ_(FD)_%2792
,,,,,,,,High End Performance G37,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/High_End_Performance_G37
,,,,,,,,Nissan Fairlady Z Roadster (Z33) '03,,,,,,,,,,,,,,,,,,,"https://gran-turismo.fandom.com/wiki/Nissan_350Z_Roadster_(Z33,_EU)_%2703"
,,,,,,,,Audi R18 TDI Prototype '11,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Audi_R18_TDI_Prototype_%2711
,,,,,,,,Plymouth XNR Ghia Roadster '60,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Plymouth_XNR_Ghia_Roadster_%2760
,,,,,,,,Citroën C4 WRC '08,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Citro%C3%ABn_C4_WRC_%2708
,,,,,,,,Red Bull X2014 Junior,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Red_Bull_X2014_Junior
,,,,,,,,Honda PRELUDE Si VTEC '91,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_PRELUDE_Si_VTEC_%2791
,,,,,,,,Mazda Eunos Roadster (NA Special Package) '89,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_MX-5_Miata_(NA)_%2789
,,,,,,,,McLaren F1 GTR Race Car Base Model '95,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/McLaren_F1_GTR_Race_Car_Base_Model_%2795
,,,,,,,,Mazda éfini RX-7 Type R-S (FD) '95,,,,,,,,,,,,,,,,,,,"https://gran-turismo.fandom.com/wiki/Mazda_RX-7_Type_R-S_(FD,_J)_%2795"
,,,,,,,,BLITZ ER34 D1 SPEC '04,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/BLITZ_ER34_D1_SPEC_%2704
,,,,,,,,Ford,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Ford
,,,,,,,,Gillet Vertigo Race Car '04,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Gillet_Vertigo_Race_Car_%2704
,,,,,,,,Lexus SC 430 '01,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Lexus_SC_430_(EU)_%2701
,,,,,,,,Volkswagen,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Volkswagen
,,,,,,,,Aston Martin,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Aston_Martin
,,,,,,,,DMC DeLorean S2 '04,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/DMC_DeLorean_S2_%2704
,,,,,,,,SRT Viper GTS Launch Edition '13,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/SRT_Viper_GTS_Launch_Edition_%2713
,,,,,,,,Toyota COROLLA LEVIN GT-APEX (AE86) '83,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Toyota_COROLLA_LEVIN_GT-APEX_(AE86)_%2783
